Math_Interest,Physics_Interest,Chemistry_Interest,Biology_Interest,English_Interest,GPA,Coding_Skill,Problem_Solving,Data_Analysis,Web_Development,AI_Interest,Communication,Leadership,Teamwork,Public_Speaking,Creativity,Analytical_Thinking,Attention_To_Detail,Stress_Handling,Research_Interest,Social_Service_Interest,Cybersecurity_Interest,Blockchain_Interest,Cloud_Computing,DevOps_Interest,Mobile_Development,UI_UX_Design,Product_Management,Digital_Marketing,Testing_QA,Database_Management,Recommended_Career
3.0,5.0,3.0,3.0,3.0,7.9,9.066545815859206,8.302576176699723,3.0,5.821696376885134,3.0,2.0,5.0,3.0,3.0,5.0,6.0,5.0,6.0,6.0,4.0,5.0,3.0,4.0,4.0,6.0,6.0,4.0,5.0,3.0,7.989583934594853,Software Engineer
4.0,5.0,4.0,6.0,6.0,8.1,8.328859722603418,9.312009471551244,5.0,7.608761472224439,5.0,5.0,4.0,2.0,4.0,6.0,5.0,2.0,6.0,6.0,2.0,6.0,4.0,4.0,4.0,5.0,6.0,5.0,6.0,6.0,8.155312036106697,Software Engineer
3.0,4.0,4.0,5.0,4.0,9.1,9.234400892698696,9.270343239281726,5.0,6.852471319759647,4.0,3.0,4.0,2.0,6.0,6.0,2.0,5.0,2.0,5.0,2.0,4.0,5.0,5.0,4.0,6.0,5.0,3.0,5.0,5.0,6.136654735260619,Software Engineer
3.0,2.0,6.0,2.0,2.0,8.2,6.996477707933487,10.0,5.0,7.107880444343033,2.0,5.0,2.0,4.0,6.0,6.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,6.0,2.0,5.0,6.0,6.0,4.0,2.0,6.542300569043174,Software Engineer
6.0,2.0,4.0,5.0,6.0,8.3,9.138241432058681,9.760133085375854,4.0,7.5300647056014665,4.0,2.0,3.0,4.0,6.0,5.0,5.0,4.0,2.0,3.0,6.0,2.0,6.0,5.0,3.0,5.0,6.0,2.0,2.0,5.0,7.229211374115068,Software Engineer
3.0,3.0,4.0,2.0,6.0,8.7,10.0,10.0,2.0,8.353585889569397,3.0,5.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,5.0,6.0,6.0,6.0,3.0,3.0,6.0,3.0,2.0,5.0,6.0,6.93086206527386,Software Engineer
6.0,4.0,5.0,2.0,6.0,6.3,8.466099761626445,7.93024758871031,5.0,7.4278904406949176,2.0,2.0,3.0,2.0,5.0,4.0,6.0,5.0,5.0,4.0,2.0,2.0,5.0,2.0,2.0,3.0,6.0,4.0,5.0,4.0,6.345716723312444,Software Engineer
3.0,5.0,6.0,4.0,4.0,7.1,8.154338967232652,9.333070372618256,4.0,7.313908211457553,4.0,4.0,4.0,5.0,3.0,5.0,4.0,6.0,2.0,2.0,4.0,4.0,5.0,4.0,6.0,4.0,2.0,2.0,6.0,2.0,6.9741371520461435,Software Engineer
3.0,2.0,4.0,6.0,3.0,7.9,7.858061773857596,9.006339062362269,3.0,7.223079742625275,2.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,9.597673726595833,Software Engineer
6.0,5.0,4.0,6.0,2.0,7.1,7.168593915784877,8.664392631881354,5.0,5.504939169772795,3.0,5.0,3.0,3.0,4.0,6.0,3.0,4.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,2.0,2.0,3.0,4.0,3.0,5.009188004876002,Software Engineer
2.0,4.0,3.0,5.0,2.0,7.8,9.668326018107997,8.311627717769241,2.0,8.628936947623991,3.0,4.0,6.0,2.0,6.0,4.0,5.0,4.0,3.0,5.0,5.0,2.0,5.0,5.0,3.0,6.0,5.0,3.0,2.0,5.0,7.897815408410548,Software Engineer
6.0,4.0,3.0,6.0,6.0,7.7,10.0,6.605739695099528,4.0,5.313531848765898,6.0,3.0,3.0,2.0,6.0,5.0,2.0,4.0,4.0,4.0,6.0,2.0,3.0,2.0,3.0,6.0,6.0,2.0,5.0,3.0,6.213434224895831,Software Engineer
3.0,6.0,6.0,6.0,5.0,8.1,7.967737329422163,7.755528212398925,5.0,6.929319618347929,5.0,5.0,2.0,5.0,3.0,5.0,4.0,6.0,3.0,6.0,6.0,3.0,4.0,4.0,5.0,5.0,6.0,3.0,4.0,4.0,6.111202686769081,Software Engineer
6.0,6.0,5.0,5.0,3.0,7.7,8.747482665697035,9.363454337839073,3.0,5.843652339734668,3.0,2.0,5.0,6.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,5.0,4.0,5.0,5.0,6.0,4.5900780342001255,Software Engineer
5.0,5.0,5.0,4.0,6.0,8.7,8.47941158714459,9.812601287753644,5.0,5.225037940357872,4.0,5.0,4.0,6.0,5.0,4.0,6.0,2.0,6.0,2.0,3.0,6.0,5.0,6.0,5.0,5.0,3.0,2.0,2.0,3.0,7.241659719820838,Software Engineer
3.0,4.0,2.0,5.0,5.0,8.8,9.24164452167675,8.386023198607102,4.0,6.559347578430257,3.0,6.0,4.0,6.0,3.0,2.0,2.0,3.0,6.0,2.0,3.0,2.0,6.0,5.0,5.0,5.0,5.0,5.0,2.0,6.0,8.451178849021064,Software Engineer
5.0,4.0,2.0,6.0,4.0,9.1,7.886611958078152,9.579561142476477,2.0,5.5055943801806935,4.0,5.0,6.0,5.0,5.0,3.0,3.0,4.0,6.0,4.0,3.0,5.0,6.0,6.0,3.0,5.0,4.0,4.0,3.0,2.0,7.5245073752860865,Software Engineer
4.0,6.0,4.0,6.0,5.0,6.1,8.130952752135217,9.17739611463694,4.0,6.6762082957133995,2.0,4.0,2.0,6.0,6.0,5.0,5.0,4.0,2.0,3.0,4.0,6.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,8.2125188368316,Software Engineer
3.0,6.0,6.0,6.0,5.0,6.5,10.0,9.420188598724938,3.0,6.8330720698914345,6.0,3.0,3.0,4.0,3.0,6.0,6.0,3.0,4.0,6.0,5.0,3.0,4.0,5.0,5.0,2.0,3.0,6.0,3.0,3.0,7.387703141262015,Software Engineer
5.0,4.0,6.0,4.0,6.0,6.4,8.217583666038554,6.679643987613855,3.0,6.084843884154074,5.0,6.0,3.0,5.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,5.0,3.0,6.0,5.0,4.0,6.0,4.0,2.0,2.0,6.036361555631196,Software Engineer
6.0,3.0,4.0,5.0,3.0,7.8,7.784109075895869,7.436522052131312,2.0,6.649047617782022,3.0,5.0,2.0,6.0,5.0,4.0,3.0,6.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,6.0,2.0,7.685749035274662,Software Engineer
4.0,6.0,4.0,3.0,3.0,6.0,9.777767389084925,9.807008281944471,6.0,4.752731444659144,6.0,5.0,3.0,3.0,5.0,3.0,3.0,6.0,4.0,2.0,4.0,4.0,6.0,5.0,2.0,2.0,5.0,2.0,3.0,2.0,5.38012800560823,Software Engineer
6.0,4.0,3.0,2.0,4.0,7.3,8.079149602190872,9.85501932429728,6.0,7.442545624204053,2.0,3.0,6.0,4.0,5.0,4.0,2.0,6.0,5.0,6.0,6.0,3.0,3.0,3.0,6.0,4.0,4.0,6.0,5.0,6.0,7.639626409497902,Software Engineer
3.0,3.0,4.0,4.0,5.0,8.4,9.39699130449884,9.060385928424417,6.0,6.948802888183403,5.0,3.0,3.0,2.0,5.0,2.0,5.0,5.0,6.0,5.0,3.0,5.0,6.0,3.0,2.0,6.0,2.0,4.0,3.0,2.0,5.697347883165536,Software Engineer
2.0,6.0,2.0,4.0,6.0,8.1,10.0,10.0,2.0,6.154954672030849,6.0,2.0,6.0,4.0,4.0,2.0,5.0,2.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,3.0,5.0,6.0,6.0,2.0,7.0389132069014595,Software Engineer
2.0,4.0,4.0,3.0,5.0,8.4,9.273204022852124,7.860570998908425,5.0,8.437776939916462,3.0,5.0,5.0,6.0,2.0,4.0,6.0,4.0,6.0,2.0,2.0,5.0,3.0,4.0,4.0,4.0,6.0,2.0,5.0,6.0,6.518758876134588,Software Engineer
3.0,6.0,6.0,6.0,6.0,8.8,8.67373799497696,10.0,4.0,6.664060774959852,5.0,5.0,6.0,5.0,3.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,2.0,5.0,6.0,5.0,8.83738667548752,Software Engineer
3.0,6.0,6.0,3.0,6.0,6.6,9.424965897436149,7.063033067294585,5.0,6.0179805801696995,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,6.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,7.6665726686095335,Software Engineer
2.0,2.0,2.0,4.0,5.0,6.9,8.779032682213646,8.896579886425366,3.0,7.225559839510181,3.0,6.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,6.0,3.0,5.0,5.0,4.0,6.0,6.972017543469782,Software Engineer
2.0,6.0,5.0,6.0,3.0,8.6,9.478875538520462,7.464357930073881,4.0,7.1025531837262665,6.0,3.0,3.0,4.0,4.0,2.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,6.0,7.389691705320002,Software Engineer
4.0,2.0,5.0,2.0,3.0,7.2,9.529413407125721,10.0,2.0,6.6820934513715375,6.0,5.0,2.0,3.0,3.0,2.0,6.0,5.0,2.0,5.0,4.0,2.0,4.0,2.0,3.0,6.0,5.0,2.0,6.0,4.0,5.1192015720259425,Software Engineer
2.0,6.0,2.0,6.0,2.0,6.9,9.94028946488359,9.865968638417153,3.0,7.886393959567952,4.0,4.0,3.0,4.0,6.0,4.0,3.0,2.0,3.0,2.0,2.0,6.0,2.0,4.0,6.0,6.0,2.0,2.0,3.0,4.0,7.211609732795051,Software Engineer
3.0,6.0,5.0,2.0,4.0,8.2,8.998080146823654,9.408036176881266,4.0,7.13102711619342,2.0,6.0,6.0,2.0,6.0,6.0,5.0,3.0,4.0,6.0,2.0,6.0,6.0,5.0,3.0,4.0,2.0,6.0,3.0,2.0,8.616874398498608,Software Engineer
4.0,4.0,3.0,5.0,5.0,8.1,9.443812709383105,9.463369806032686,3.0,7.229481715463606,6.0,2.0,3.0,4.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,3.0,2.0,6.0,5.0,3.0,4.0,5.0,5.0,4.0,5.469284742743294,Software Engineer
5.0,2.0,5.0,6.0,6.0,8.5,9.121177949299462,9.130764187911545,4.0,6.940717353974068,6.0,5.0,5.0,3.0,6.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0,6.0,5.0,3.0,5.0,5.0,3.0,4.0,6.0,7.823753131876182,Software Engineer
4.0,3.0,5.0,4.0,4.0,7.0,8.663168032359406,9.619701965482479,6.0,7.316047870644287,3.0,5.0,2.0,5.0,5.0,5.0,3.0,2.0,6.0,3.0,6.0,2.0,2.0,5.0,6.0,6.0,5.0,3.0,6.0,5.0,7.3398753611927035,Software Engineer
2.0,5.0,3.0,6.0,4.0,7.6,9.805678639242501,9.677401368692303,6.0,7.973894128217401,5.0,5.0,3.0,3.0,5.0,2.0,3.0,5.0,6.0,4.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,6.0,6.0,6.045208182869178,Software Engineer
5.0,4.0,4.0,5.0,6.0,6.9,9.444726818195234,8.846314895637983,4.0,6.5435288557752775,6.0,6.0,3.0,6.0,6.0,6.0,2.0,5.0,6.0,5.0,3.0,5.0,2.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,8.454050181457458,Software Engineer
3.0,3.0,6.0,4.0,2.0,9.3,10.0,9.243752480401648,3.0,7.432594451726152,5.0,2.0,6.0,3.0,2.0,5.0,5.0,5.0,2.0,2.0,3.0,4.0,6.0,3.0,2.0,6.0,2.0,2.0,4.0,4.0,6.848752353253624,Software Engineer
3.0,3.0,4.0,6.0,3.0,9.4,10.0,10.0,5.0,7.598347047074883,4.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,2.0,6.0,2.0,6.0,2.0,4.0,2.0,2.0,7.614099177112624,Software Engineer
5.0,3.0,5.0,5.0,3.0,7.9,8.011372850565394,9.450317278043814,6.0,6.250186661715483,6.0,6.0,4.0,3.0,3.0,3.0,5.0,5.0,6.0,2.0,4.0,3.0,6.0,3.0,2.0,4.0,6.0,6.0,2.0,3.0,7.003108550185637,Software Engineer
6.0,5.0,2.0,2.0,3.0,8.6,10.0,6.680389273248782,3.0,6.456829168943886,2.0,2.0,2.0,6.0,3.0,6.0,4.0,4.0,4.0,6.0,2.0,2.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,4.998454255561321,Software Engineer
4.0,5.0,5.0,6.0,2.0,6.7,7.81292957362563,8.636739352431194,2.0,5.4926743522269525,2.0,2.0,6.0,2.0,3.0,5.0,6.0,6.0,2.0,6.0,5.0,2.0,4.0,6.0,3.0,2.0,6.0,6.0,6.0,6.0,6.74539183023397,Software Engineer
2.0,4.0,5.0,4.0,3.0,7.1,9.85468573013556,8.19978830339815,4.0,6.989361323381807,4.0,2.0,6.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,2.0,6.0,3.0,4.0,2.0,3.0,5.0,3.0,7.632857914607307,Software Engineer
4.0,2.0,3.0,4.0,6.0,6.7,8.513805869300953,9.420226709474585,2.0,6.349436379594408,6.0,2.0,4.0,6.0,4.0,6.0,6.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,2.0,3.0,6.0,6.8976032933889035,Software Engineer
2.0,3.0,3.0,3.0,3.0,8.9,9.410982576900876,9.78255882571516,3.0,7.523950954192671,6.0,5.0,4.0,3.0,6.0,6.0,2.0,6.0,5.0,2.0,5.0,2.0,2.0,2.0,4.0,5.0,4.0,2.0,2.0,6.0,6.099103004695425,Software Engineer
5.0,2.0,3.0,4.0,6.0,6.4,10.0,7.998708567243456,6.0,6.469023495444286,2.0,6.0,6.0,3.0,4.0,4.0,4.0,3.0,6.0,6.0,3.0,6.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,3.0,8.683586209538023,Software Engineer
4.0,4.0,6.0,5.0,3.0,8.5,9.097413412957781,9.795778009744232,5.0,6.950441162448417,5.0,3.0,3.0,4.0,6.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,6.0,3.0,2.0,3.0,4.0,2.0,6.552842342670053,Software Engineer
2.0,4.0,3.0,4.0,6.0,8.6,6.829384590204588,6.98589740513471,4.0,7.060468448117368,5.0,6.0,2.0,5.0,6.0,6.0,3.0,2.0,6.0,6.0,4.0,6.0,2.0,5.0,2.0,6.0,5.0,6.0,4.0,2.0,7.795838655219774,Software Engineer
4.0,5.0,6.0,3.0,6.0,7.3,6.453831865177136,9.614270438357064,6.0,6.748897411963087,2.0,3.0,5.0,2.0,4.0,5.0,2.0,4.0,3.0,4.0,3.0,6.0,2.0,6.0,5.0,6.0,6.0,2.0,6.0,4.0,7.753855069933683,Software Engineer
6.0,5.0,6.0,5.0,5.0,6.6,8.439245835912255,8.97775220515079,3.0,7.228770028928938,4.0,2.0,2.0,6.0,5.0,3.0,6.0,2.0,3.0,5.0,3.0,5.0,6.0,2.0,2.0,6.0,4.0,4.0,4.0,4.0,5.4371156546601505,Software Engineer
4.0,4.0,6.0,4.0,6.0,7.5,9.438991029388895,8.473284608053792,4.0,9.309844422090078,4.0,3.0,2.0,2.0,4.0,6.0,2.0,4.0,3.0,6.0,4.0,6.0,3.0,2.0,4.0,5.0,6.0,6.0,6.0,5.0,5.967602980445152,Software Engineer
4.0,5.0,2.0,3.0,5.0,7.6,9.916311441074567,7.266790896791017,6.0,6.620313474857439,2.0,3.0,6.0,5.0,6.0,6.0,2.0,3.0,2.0,2.0,6.0,6.0,2.0,5.0,4.0,2.0,6.0,6.0,4.0,5.0,7.862000050412134,Software Engineer
4.0,3.0,2.0,6.0,2.0,7.7,8.682561445162317,8.835348972456048,2.0,7.094183058232312,4.0,6.0,2.0,6.0,5.0,6.0,3.0,6.0,5.0,2.0,6.0,5.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,6.0,5.247901427273029,Software Engineer
5.0,2.0,2.0,5.0,2.0,6.2,8.795930484951565,8.508344385034516,4.0,7.694670611628409,6.0,6.0,5.0,2.0,2.0,3.0,2.0,6.0,3.0,3.0,6.0,6.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,2.0,6.419348597254415,Software Engineer
3.0,6.0,3.0,4.0,5.0,6.6,10.0,9.18131421786142,4.0,7.82442706238498,6.0,5.0,5.0,6.0,5.0,6.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,6.0,6.0,3.0,3.0,5.0,6.08855637686271,Software Engineer
4.0,6.0,3.0,5.0,5.0,8.1,10.0,8.855972339945323,6.0,9.325779791881684,2.0,6.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,6.0,4.0,3.0,6.0,2.0,4.0,4.0,4.0,6.0,4.0,6.0,7.290040396483535,Software Engineer
2.0,4.0,4.0,6.0,3.0,7.5,9.988553242465315,9.040256502000464,6.0,5.639741633710673,5.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,2.0,6.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,6.0,5.713606664916303,Software Engineer
3.0,4.0,3.0,4.0,5.0,8.7,9.777609530278536,8.190513681107234,2.0,5.626996983114461,5.0,2.0,5.0,3.0,6.0,5.0,3.0,4.0,2.0,2.0,6.0,6.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,7.8780585789082,Software Engineer
6.0,2.0,3.0,3.0,3.0,7.6,9.498719441069724,6.892807652670312,5.0,8.997514177804764,6.0,5.0,2.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,2.0,6.0,3.0,4.0,4.0,6.0,3.0,3.0,3.0,3.0,6.956866410359092,Software Engineer
2.0,2.0,3.0,3.0,2.0,8.8,10.0,10.0,3.0,4.865306332523144,3.0,6.0,3.0,4.0,5.0,2.0,6.0,3.0,4.0,5.0,5.0,2.0,6.0,5.0,6.0,4.0,5.0,4.0,6.0,6.0,6.829611576643889,Software Engineer
4.0,4.0,4.0,4.0,4.0,9.3,7.2192618924365295,8.196759908048294,5.0,7.395509106362508,6.0,2.0,5.0,3.0,2.0,5.0,2.0,6.0,5.0,6.0,5.0,6.0,2.0,6.0,2.0,3.0,2.0,4.0,5.0,3.0,7.551191728701694,Software Engineer
5.0,3.0,2.0,5.0,2.0,7.0,7.836526200207729,9.162059559062875,4.0,5.4129016992017585,6.0,2.0,5.0,5.0,2.0,5.0,2.0,3.0,6.0,6.0,3.0,6.0,6.0,5.0,2.0,3.0,5.0,6.0,6.0,4.0,7.7297156737837085,Software Engineer
5.0,3.0,5.0,5.0,5.0,7.3,9.942765801225276,8.015005072275558,5.0,5.613557746729807,6.0,3.0,5.0,2.0,4.0,4.0,3.0,6.0,6.0,2.0,3.0,3.0,6.0,4.0,5.0,6.0,5.0,2.0,2.0,3.0,6.544472154996569,Software Engineer
5.0,5.0,6.0,4.0,5.0,7.0,9.195263031479772,8.782315306565343,6.0,7.288219063090324,4.0,5.0,4.0,3.0,6.0,2.0,3.0,6.0,5.0,2.0,5.0,6.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,6.616199074292255,Software Engineer
5.0,3.0,2.0,3.0,3.0,6.8,9.37506215189234,10.0,4.0,6.1692301183946645,6.0,3.0,4.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,2.0,3.0,3.0,6.0,5.0,6.0,5.780124255158478,Software Engineer
6.0,4.0,5.0,5.0,2.0,7.8,10.0,8.82134483098611,6.0,6.493397304028797,5.0,6.0,4.0,2.0,6.0,2.0,4.0,6.0,5.0,2.0,6.0,2.0,5.0,5.0,3.0,4.0,2.0,6.0,3.0,3.0,6.305861438854334,Software Engineer
5.0,3.0,5.0,5.0,3.0,9.1,9.281955867394156,8.30131956401517,5.0,5.401947624723286,3.0,5.0,4.0,6.0,2.0,5.0,6.0,6.0,2.0,6.0,3.0,3.0,3.0,5.0,5.0,4.0,2.0,6.0,3.0,2.0,6.910679597299265,Software Engineer
4.0,4.0,6.0,5.0,3.0,6.1,8.858604497856199,9.873056600092744,3.0,5.427471749997559,5.0,3.0,5.0,6.0,6.0,6.0,2.0,4.0,3.0,6.0,5.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,3.0,6.0,6.4651886617814425,Software Engineer
4.0,6.0,3.0,5.0,5.0,8.2,10.0,8.836046499973003,4.0,4.724263596278248,4.0,5.0,5.0,3.0,5.0,3.0,4.0,2.0,3.0,6.0,4.0,5.0,2.0,5.0,3.0,5.0,6.0,4.0,2.0,4.0,6.419039811468517,Software Engineer
4.0,6.0,4.0,2.0,2.0,8.0,9.073275314585697,9.037523232339598,6.0,6.969167485915816,6.0,6.0,3.0,6.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,4.0,6.909129070374037,Software Engineer
4.0,4.0,6.0,5.0,4.0,7.1,9.892855816322955,8.225489938486605,2.0,6.343629106451891,2.0,2.0,4.0,5.0,5.0,3.0,4.0,2.0,5.0,3.0,5.0,6.0,5.0,3.0,6.0,5.0,5.0,6.0,6.0,2.0,6.381053447408637,Software Engineer
5.0,6.0,4.0,3.0,3.0,7.5,10.0,8.548615549035604,5.0,5.704658815533965,5.0,2.0,5.0,6.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,2.0,4.0,4.0,2.0,6.0,7.072017641917053,Software Engineer
4.0,4.0,2.0,5.0,5.0,6.8,7.341664434417755,8.992095484626764,6.0,6.699235415153265,5.0,5.0,6.0,5.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,6.0,3.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,7.273842398308457,Software Engineer
2.0,4.0,5.0,5.0,2.0,9.0,7.047184469951752,7.0261661301410365,2.0,6.9928831448714845,6.0,6.0,2.0,4.0,5.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,6.0,6.0,4.0,2.0,7.27380384532352,Software Engineer
5.0,3.0,5.0,4.0,5.0,8.8,7.882672397948725,6.0,2.0,10.0,3.0,5.0,5.0,6.0,4.0,6.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,6.578661633815167,6.0,4.0,3.0,6.0,4.0,6.0,8.414616285026703,Full Stack Developer
6.0,2.0,4.0,4.0,5.0,6.6,8.700662092248278,5.0,5.0,10.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,6.0,6.0,4.0,2.0,3.0,6.475128067348009,5.0,6.0,4.0,2.0,2.0,6.0,8.672114315096437,Full Stack Developer
